2019-02-28 05:01:39 status unpacked mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:39 status half-installed mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:39 status unpacked mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:39 install mount:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:39 status half-installed mount:arm64 2.33.1-0.1
2019-02-28 05:01:40 status unpacked mount:arm64 2.33.1-0.1
2019-02-28 05:01:40 install ncurses-base:all <none> 6.1+20181013-2
2019-02-28 05:01:40 status half-installed ncurses-base:all 6.1+20181013-2
2019-02-28 05:01:40 status unpacked ncurses-base:all 6.1+20181013-2
2019-02-28 05:01:40 install ncurses-bin:arm64 <none> 6.1+20181013-2
2019-02-28 05:01:40 status half-installed ncurses-bin:arm64 6.1+20181013-2
2019-02-28 05:01:41 status unpacked ncurses-bin:arm64 6.1+20181013-2
2019-02-28 05:01:41 install passwd:arm64 <none> 1:4.5-1.1
2019-02-28 05:01:41 status half-installed passwd:arm64 1:4.5-1.1
2019-02-28 05:01:41 status unpacked passwd:arm64 1:4.5-1.1
2019-02-28 05:01:42 upgrade perl-base:arm64 5.28.1-4 5.28.1-4
2019-02-28 05:01:42 status half-configured perl-base:arm64 5.28.1-4
2019-02-28 05:01:42 status unpacked perl-base:arm64 5.28.1-4
2019-02-28 05:01:42 status half-installed perl-base:arm64 5.28.1-4
2019-02-28 05:01:43 status unpacked perl-base:arm64 5.28.1-4
2019-02-28 05:01:43 install sed:arm64 <none> 4.7-1
2019-02-28 05:01:43 status half-installed sed:arm64 4.7-1
2019-02-28 05:01:43 status unpacked sed:arm64 4.7-1
2019-02-28 05:01:43 install sysvinit-utils:arm64 <none> 2.93-8
2019-02-28 05:01:43 status half-installed sysvinit-utils:arm64 2.93-8
2019-02-28 05:01:44 status unpacked sysvinit-utils:arm64 2.93-8
2019-02-28 05:01:44 install tar:arm64 <none> 1.30+dfsg-5
2019-02-28 05:01:44 status half-installed tar:arm64 1.30+dfsg-5
2019-02-28 05:01:44 status unpacked tar:arm64 1.30+dfsg-5
2019-02-28 05:01:45 install tzdata:all <none> 2018i-1
2019-02-28 05:01:45 status half-installed tzdata:all 2018i-1
2019-02-28 05:01:45 status unpacked tzdata:all 2018i-1
2019-02-28 05:01:46 install util-linux:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:46 status half-installed util-linux:arm64 2.33.1-0.1
2019-02-28 05:01:46 status unpacked util-linux:arm64 2.33.1-0.1
2019-02-28 05:01:46 install zlib1g:arm64 <none> 1:1.2.11.dfsg-1
2019-02-28 05:01:46 status half-installed zlib1g:arm64 1:1.2.11.dfsg-1
2019-02-28 05:01:47 status unpacked zlib1g:arm64 1:1.2.11.dfsg-1
